                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6904,                    0.3,                      1,                 1.6157,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.6983,                    0.3,                      1,                  1.616,             3.4522e-05,             3.4522e-05,             3.4522e-05
                      3,                 1.6328,                    0.3,                      1,                 1.6137,              5.335e-05,              5.335e-05,              5.335e-05
                      4,                 1.6046,                    0.3,                      1,                 1.6099,             7.0765e-05,             7.0765e-05,             7.0765e-05
                      5,                 1.5568,                    0.3,                      1,                 1.6035,             8.6765e-05,             8.6765e-05,             8.6765e-05
                      6,                 1.5588,                    0.3,                      1,                 1.6003,             0.00010135,             0.00010135,             0.00010135
                      7,                 1.4499,                    0.3,                      1,                 1.5965,             0.00011453,             0.00011453,             0.00011453
                      8,                 1.4762,                    0.3,                      1,                 1.5947,             0.00012629,             0.00012629,             0.00012629
                      9,                  1.509,                    0.3,                      1,                 1.5878,             0.00013663,             0.00013663,             0.00013663
                     10,                  1.427,                    0.2,                      1,                 1.5841,             0.00014556,             0.00014556,             0.00014556
                     11,                 1.3876,                    0.1,                      1,                 1.5771,             0.00015308,             0.00015308,             0.00015308
                     12,                 1.3844,                    0.1,                      1,                  1.574,             0.00015919,             0.00015919,             0.00015919
                     13,                 1.3449,                    0.4,                      1,                 1.5649,             0.00016388,             0.00016388,             0.00016388
                     14,                 1.2241,                    0.4,                      1,                 1.5622,             0.00016715,             0.00016715,             0.00016715
                     15,                 1.2448,                    0.5,                      1,                 1.5517,             0.00016902,             0.00016902,             0.00016902
                     16,                 1.2041,                    0.6,                      1,                 1.5474,             0.00016947,             0.00016947,             0.00016947
                     17,                 1.1112,                    0.5,                      1,                 1.5418,              0.0001685,              0.0001685,              0.0001685
                     18,                 1.1205,                    0.5,                      1,                 1.5356,             0.00016613,             0.00016613,             0.00016613
                     19,                 1.0931,                    0.5,                      1,                 1.5319,             0.00016234,             0.00016234,             0.00016234
                     20,                0.99377,                    0.5,                      1,                 1.5282,             0.00015713,             0.00015713,             0.00015713
                     21,                0.96101,                    0.5,                      1,                  1.523,             0.00015051,             0.00015051,             0.00015051
                     22,                 1.0416,                    0.5,                      1,                 1.5172,             0.00014248,             0.00014248,             0.00014248
                     23,                0.93161,                    0.5,                      1,                 1.5148,             0.00013303,             0.00013303,             0.00013303
                     24,                0.99553,                    0.5,                      1,                 1.5121,             0.00012217,             0.00012217,             0.00012217
                     25,                0.91745,                    0.5,                      1,                 1.5095,              0.0001099,              0.0001099,              0.0001099
                     26,                 1.0028,                    0.5,                      1,                 1.5072,             9.6211e-05,             9.6211e-05,             9.6211e-05
                     27,                0.89048,                    0.5,                      1,                 1.5017,              8.111e-05,              8.111e-05,              8.111e-05
                     28,                0.87371,                    0.5,                      1,                 1.4993,             6.4596e-05,             6.4596e-05,             6.4596e-05
                     29,                 0.8964,                    0.5,                      1,                 1.4993,             4.6667e-05,             4.6667e-05,             4.6667e-05
                     30,                0.82672,                    0.5,                      1,                 1.5038,             2.7325e-05,             2.7325e-05,             2.7325e-05
