                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3801,                  0.375,                      1,                 1.3747,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3753,                  0.375,                      1,                 1.3759,             2.0713e-05,             2.0713e-05,             2.0713e-05
                      3,                 1.3751,                  0.375,                      1,                 1.3756,             3.3344e-05,             3.3344e-05,             3.3344e-05
                      4,                 1.3964,                  0.375,                      1,                  1.376,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      5,                 1.3847,                  0.375,                      1,                 1.3766,             5.5778e-05,             5.5778e-05,             5.5778e-05
                      6,                 1.3242,                  0.375,                      1,                 1.3763,             6.5581e-05,             6.5581e-05,             6.5581e-05
                      7,                 1.3247,                  0.375,                      1,                 1.3736,             7.4442e-05,             7.4442e-05,             7.4442e-05
                      8,                 1.3011,                   0.25,                      1,                 1.3707,              8.236e-05,              8.236e-05,              8.236e-05
                      9,                 1.2938,                   0.25,                      1,                 1.3683,             8.9336e-05,             8.9336e-05,             8.9336e-05
                     10,                 1.2212,                   0.25,                      1,                 1.3663,             9.5369e-05,             9.5369e-05,             9.5369e-05
                     11,                 1.2085,                   0.25,                      1,                  1.363,             0.00010046,             0.00010046,             0.00010046
                     12,                  1.214,                  0.375,                      1,                 1.3602,             0.00010461,             0.00010461,             0.00010461
                     13,                 1.1649,                  0.375,                      1,                 1.3554,             0.00010781,             0.00010781,             0.00010781
                     14,                 1.1607,                    0.5,                      1,                 1.3495,             0.00011008,             0.00011008,             0.00011008
                     15,                 1.1515,                    0.5,                      1,                 1.3444,              0.0001114,              0.0001114,              0.0001114
                     16,                  1.154,                    0.5,                      1,                 1.3394,             0.00011178,             0.00011178,             0.00011178
                     17,                 1.1664,                  0.625,                      1,                 1.3335,             0.00011121,             0.00011121,             0.00011121
                     18,                 1.1225,                   0.75,                      1,                 1.3282,             0.00010971,             0.00010971,             0.00010971
                     19,                 1.0878,                   0.75,                      1,                 1.3237,             0.00010726,             0.00010726,             0.00010726
                     20,                 1.0402,                   0.75,                      1,                 1.3197,             0.00010387,             0.00010387,             0.00010387
                     21,                 1.1009,                   0.75,                      1,                 1.3131,             9.9532e-05,             9.9532e-05,             9.9532e-05
                     22,                 1.0122,                   0.75,                      1,                 1.3064,             9.4255e-05,             9.4255e-05,             9.4255e-05
                     23,                 1.0335,                   0.75,                      1,                 1.3007,             8.8036e-05,             8.8036e-05,             8.8036e-05
                     24,                 1.0477,                   0.75,                      1,                 1.2944,             8.0875e-05,             8.0875e-05,             8.0875e-05
                     25,                 1.0356,                   0.75,                      1,                  1.294,             7.2771e-05,             7.2771e-05,             7.2771e-05
                     26,                 1.0057,                   0.75,                      1,                 1.2896,             6.3724e-05,             6.3724e-05,             6.3724e-05
                     27,                0.94888,                   0.75,                      1,                 1.2904,             5.3736e-05,             5.3736e-05,             5.3736e-05
                     28,                0.96307,                   0.75,                      1,                 1.2904,             4.2804e-05,             4.2804e-05,             4.2804e-05
                     29,                0.92315,                   0.75,                      1,                 1.2865,              3.093e-05,              3.093e-05,              3.093e-05
                     30,                0.96287,                   0.75,                      1,                 1.2862,             1.8114e-05,             1.8114e-05,             1.8114e-05
